k,f1_score,auc_score,topk_1,topk_3,topk_5
1,0.6417740034829192,0.8039634072786199,0.6781611969111969,0.746307915057915,0.8350546975546974
2,0.6295467754388253,0.8672584488798964,0.6531370656370655,0.8394868082368083,0.8897200772200773
3,0.6962619465503114,0.9033603248111561,0.7167229729729729,0.8861003861003862,0.9183880308880308
4,0.7070217676217482,0.9158497300442864,0.7292551480051481,0.8897120334620336,0.9363256113256113
5,0.73943077794786,0.9279998093030809,0.7489864864864865,0.8968870656370657,0.9453104890604891
6,0.7250593639584123,0.9366478056745556,0.7552686615186615,0.9022522522522524,0.9569658944658945
7,0.7385274862275855,0.9407059714098315,0.7606418918918918,0.9076013513513512,0.9596203346203346
8,0.7396221061169498,0.9442669868804137,0.7669401544401544,0.915693371943372,0.9569417631917633
9,0.7467450889834157,0.9474508225082199,0.7678330115830115,0.9184041184041185,0.9605614543114545
10,0.7435792239948488,0.9495695800903855,0.7642535392535393,0.9238095238095237,0.9623632561132561
11,0.7440297541023879,0.9518993617568319,0.7723214285714286,0.9310006435006436,0.9650498712998713
12,0.7400870087335203,0.9538457125941833,0.7768178893178893,0.9300916988416988,0.9641489703989704
13,0.7499236952289972,0.9542959913511103,0.7794723294723295,0.9336631274131273,0.9650337837837839
14,0.7477246525891273,0.953824515053569,0.7794964607464607,0.9327541827541828,0.9623391248391249
15,0.7412852638365596,0.9541144505617458,0.7732303732303731,0.9300434362934362,0.9632400257400258
