k,f1_score,auc_score,topk_1,topk_3,topk_5
1,0.58330603670103,0.7706667815586659,0.6100466537966538,0.6898568211068211,0.819779601029601
2,0.5533407452278887,0.8379323003347976,0.5724742599742599,0.796509009009009,0.8745012870012869
3,0.5879201967158878,0.8724042263006198,0.6270833333333333,0.8502574002574003,0.8986647361647361
4,0.6340376742794499,0.8888260939549998,0.665693371943372,0.8601512226512227,0.9157094594594595
5,0.6429463342807065,0.8989480368095574,0.6727557915057916,0.8574485199485199,0.9274050836550838
6,0.6515502218934854,0.9031406783256004,0.6907094594594595,0.8494047619047619,0.9238256113256111
7,0.6654803979437487,0.9148586299623981,0.6987773487773488,0.8709218146718147,0.9309684684684685
8,0.666774036669237,0.9191534850945772,0.7006193693693693,0.8762628700128701,0.934572072072072
9,0.6753337426205104,0.9248075640318547,0.7095398970398971,0.8852316602316602,0.9381756756756758
10,0.6916919899750261,0.9302681014861145,0.7203346203346205,0.8960022522522522,0.9489382239382239
11,0.6926948214086085,0.9323969717666987,0.7284185971685971,0.8978281853281853,0.9471525096525097
12,0.7070927591556034,0.9345470363752669,0.7364543114543114,0.8978362290862292,0.9507239382239382
13,0.713615361204114,0.9366880230082213,0.7418436293436294,0.8978603603603604,0.9507319819819819
14,0.7080318836169539,0.9375484660128256,0.7301962676962677,0.9103925353925353,0.9560891248391249
15,0.7123330290870615,0.9390901048210359,0.7382722007722007,0.9032175032175033,0.9569819819819821
